manufacturers_id	name	description	room_image_url	warranty
2	Agra Red	"This casually elegant scrolling vine and blossom design is punctuated with oversize palmettes and serrated leaves typical of both Agra and Lahore carpets woven during the mid 17th Century Mogul Dynasty.  Red was a favored ground color for these carpets; and Karastan's interpretation is soft, fresh and punctuated with accent colors perfect for today's interiors. Agra Red is part of the Ashara collection."	http://s7d5.scene7.com/is/image/Karastan/549_15002_Agra
3	Ashara Agra Black	"Classic design merges with relaxed elegance to create timeless, easy to live with styling. Carefully crafted use of multiple color shadings creates a softened visual texture that is comfortable with both traditional and casual furnishings. Woven of premium worsted New Zealand wool and luster washed for additional softness. Agra Black is part of the Ashara collection."	http://s7d5.scene7.com/is/image/Karastan/549_15006_AgraBlack
5	Agra Ivory	"Fabulous colors are the calling card of Agra Ivory.  Karastan uses fresh shades of coral, aquamarine blue, and yellow in an open-field design, giving lighter expression to the ""new traditional"" look. A weave of pure New Zealand wool contributes luxurious feel and lasting beauty. Agra Ivory is part of the Ashara collection."	http://s7d5.scene7.com/is/image/Karastan/549_15005_AgraIvory
10	Bakhtiyari	"Bakhtiyari village weaving dates back to the 19th Century. The intricacy of the pattern details are mesmerizing, with small rectangular compartments covering the whole center of the rug, each filled with the stylized floral motifs. Our Antique Legends Bakhtiyari pattern is 21st Century composition, with inspiration from our pattern #745 Bakhtiyari first introduced in 1984. Bakhtiyari is part of the Antique Legends collection."	http://s7d5.scene7.com/is/image/Karastan/2200_202_Bakhtiyari
11	Beach Umbrella	"Make a bold statement with a Cabo del Sol rug. Inspired by Cabana stripes, Cabo del Sol rugs are designed in bright festive colors that coordinate with our French Check rugs. Beach Umbrella is part of the Cabo del Sol collection."	http://s7d5.scene7.com/is/image/Karastan/ImageNotAvailable
16	Blue Check	" Fun in a playroom, soothing in a bedroom. Warm in a contemporary setting, chic in a Provincial one. Whichever role it plays, French Check plays it with distinction. And because it's crafted of 100% pure New Zealand wool in a family-tough woven loop pile construction, it offers the ideal combination of touchable softness and bounce-back stamina, taking most any abuse and coming back beautiful, time and again."	http://s7d5.scene7.com/is/image/Karastan/ImageNotAvailable
18	Brighton	"They come here to laugh and love, to distract themselves or someone else, to rest and renew. This is Brighton, the nearest seacoast resort to London and the place where the Prince Regent came to play. Our Brighton rug, a modern version of a Herat or Feraghan design, sets a tone of elegant indulgence with a stately combination of lush blooms, orderly palmettes, and lattice stems and vines. The versatile color palette includes red, indigo, ivory, yellow, caramel, deep terra cotta, medium blue, and soft green."	http://s7d5.scene7.com/is/image/Karastan/2120_506_Brighton
20	Cambridge	"Artistic interpretations of 19th century floral and foliage motifs are woven throughout this stunning collection of roll runners. Each design is patterned on striated fields of red, green, gold, black, and antique, creating styling options that range from traditional to modern. Luxurious comfort and exceptional durability are assured through the use of New Zealand wool, which Karastan meticulously weaves on Wilton looms. Cambridge is part of the English Manor collection."	http://s7d5.scene7.com/is/image/Karastan/2120_00502_Cambridge
21	Cambridge Red RR	"Artistic interpretations of 19th century floral and foliage motifs are woven throughout this stunning collection of roll runners. Each design is patterned on striated fields of red, green, gold, black, and antique, creating styling options that range from traditional to modern. Luxurious comfort and exceptional durability are assured through the use of New Zealand wool, which Karastan meticulously weaves on Wilton looms. Cambridge Red Runner is part of the English Manor collection."	http://s7d5.scene7.com/is/image/Karastan/2120R_00502_CambridgeRed_runner
22	Canterbury	"Inspired by the timeworn comfort of an English country home, the classic patterns in our English Manor collection offer relaxed elegance for everyday living. The pure New Zealand worsted wool yarns have been specially dyed to create when woven, a random stria reminiscent of the aged colors found in antique manor house rugs. English Manor rugs are woven with a cotton foundation for strength and suppleness, and undergo Karastan's signature luster-wash process to soften the hand and enhance the rich colors. Finished with a short, antique look fringe for easy maintenance."	http://s7d5.scene7.com/is/image/Karastan/2120_515_Canterbury
